101,20.37,26.67
102,33.09,27.67
104,34.04,21.14
108,24.99,32.92
114,23.08,21.77
116,23.49,22.95
122,24.06,23.44
123,36.11,24.5
126,35.72,21
129,30.74,28.48
131,31.97,37.23
132,33.85,28.93
133,31.1,23.15
134,39.21,34.54
136,24.22,29.81
139,25.1,37.27
140,23.49,38.43
144,37.53,24.99
148,22.36,25.27
151,39.47,27.19
152,39.92,34.45
153,27.5,28.04
156,35.75,24.75
157,28.7,31.15
162,27.77,30.26
163,38.43,27.37
164,36.03,27.78
166,23.19,34.05
167,27.23,29.71
169,37.2,25.8
172,36.67,37.29
175,32.68,36.42
176,25.56,21.52
178,32.23,27.94
179,30.7,25.56
185,37.56,34.69
186,32.43,22.92
189,30.44,29.82
192,26.83,29.51
195,25.71,21.75
197,24.33,26.45
198,33.66,39.03
202,23.01,27.58
212,33.72,28.08
214,27.32,36.99
217,31.65,29.39
218,20.12,33.7
225,22.87,30.16
228,30.01,21.23
230,30.81,35.39
236,36.2,31.84
240,38.73,20.9
243,35.9,36.88
250,35.86,32.67
254,29.73,37.62
255,36.2,25.46
256,38.49,22.4
259,37.52,22.99
260,25.15,26.17
264,33.38,36.45
265,26.83,34.43
267,35.61,28.61
271,37.08,31.63
272,35.7,32.08
274,23.33,32.13
276,31.5,31.27
277,32.16,22.77
281,29.04,27.69
283,30.92,24.04
286,23.4,27.07
292,34.4,33.07
294,20.08,39.39
295,24.17,39.39
298,36.05,39.9
299,36.62,36.63
301,29.5,26.67
302,24.39,28.58
303,25.61,29.17
305,24.89,26.78
309,38.72,37.99
314,38.67,30.56
319,32.55,31.68
322,25.34,21.58
323,22.67,30.99
324,36.9,26.74
329,33.04,28.51
332,21.08,35.85
333,23.8,26.36
334,27.32,26.06
336,31.73,36.7
338,22.35,35.2
340,24.78,38.74
344,25.88,35.84
